age,annual_income,employment_length,credit_score,loan_amount,debt_to_income,utilization_rate,missed_payments_6m,loan_tenure_months,secured_loan,loan_purpose,region,unemployment_rate,inflation_rate,interest_rate,default_12m
22,120000.0,0.0,602.0,286485.0,1.8,0.978,0,36,unsecured,business,north,8.53,4.5,18.87,1
45,120000.0,3.6,714.0,69369.0,0.528,0.623,0,24,unsecured,vehicle,south,5.41,6.38,11.57,0
27,120000.0,2.5,713.0,120368.0,1.181,0.658,0,24,secured,home_improvement,east,7.66,4.38,14.21,0
54,120000.0,10.2,711.0,174646.0,1.539,0.576,1,12,secured,education,south,5.77,5.0,14.8,0
51,120000.0,9.4,700.0,111842.0,1.254,0.61,0,60,secured,vehicle,south,6.34,5.16,14.45,0
62,120000.0,10.3,639.0,844453.0,1.8,1.0,6,24,secured,education,east,4.64,4.24,20.76,0
54,120000.0,8.7,575.0,118957.0,0.897,0.48,1,60,unsecured,business,north,6.46,5.35,15.6,0
37,120000.0,4.7,707.0,158233.0,1.595,0.628,4,60,unsecured,business,central,6.44,4.22,19.53,1
64,120000.0,11.8,590.0,110178.0,1.145,0.757,4,24,secured,personal,central,6.34,4.93,16.31,1
39,120000.0,5.8,583.0,189207.0,1.579,0.609,1,24,secured,business,central,9.18,6.73,17.49,1
35,152579.0,6.8,687.0,399723.0,1.8,0.711,1,60,secured,personal,south,7.8,6.2,15.6,0
61,120000.0,10.2,718.0,175370.0,1.488,0.573,1,72,unsecured,medical,north,5.77,6.06,16.67,0
37,120000.0,1.5,835.0,141159.0,1.494,0.534,1,60,unsecured,home_improvement,central,5.63,6.41,16.43,0
24,120000.0,0.3,760.0,80980.0,0.777,0.726,1,36,secured,home_improvement,central,7.79,6.88,12.8,0
42,120000.0,7.5,794.0,357090.0,1.8,1.0,2,36,secured,medical,south,5.47,3.71,16.86,0
56,120000.0,3.4,735.0,148242.0,1.67,0.73,1,36,secured,home_improvement,north,6.25,5.7,16.89,0
29,120000.0,0.0,714.0,144155.0,1.196,0.694,0,48,unsecured,vehicle,central,8.03,4.42,14.68,1
41,120000.0,7.8,874.0,35585.0,0.38,0.464,1,36,secured,home_improvement,west,6.29,4.7,9.16,0
26,120000.0,5.8,587.0,149838.0,1.355,0.786,0,60,unsecured,business,north,5.97,4.16,17.11,1
51,120000.0,3.7,655.0,125402.0,1.17,0.876,4,60,secured,business,east,5.96,7.53,16.73,1
42,120000.0,5.6,661.0,49667.0,0.678,0.528,2,36,unsecured,home_improvement,east,5.74,3.51,15.06,0
35,120000.0,2.3,753.0,309665.0,1.8,0.713,3,72,unsecured,business,north,8.07,5.57,18.9,0
31,120000.0,1.7,613.0,114932.0,1.258,0.763,1,60,secured,home_improvement,central,7.02,7.11,14.96,0
46,120000.0,7.2,743.0,558003.0,1.8,0.623,4,60,unsecured,personal,north,6.46,5.33,17.45,0
51,120000.0,3.6,730.0,408149.0,1.8,0.74,2,72,secured,vehicle,south,6.59,2.72,17.77,0
63,120000.0,7.2,747.0,101932.0,1.095,0.352,2,24,unsecured,vehicle,south,7.65,7.63,15.35,0
40,120000.0,3.8,746.0,396350.0,1.8,0.48,1,36,unsecured,personal,north,6.19,7.4,17.62,1
28,120000.0,1.3,801.0,463635.0,1.8,0.736,0,72,unsecured,business,west,6.79,4.36,16.98,1
58,120000.0,5.9,682.0,113168.0,1.372,0.511,1,48,secured,personal,east,5.67,6.5,14.61,0
49,120000.0,9.4,726.0,83181.0,0.946,0.336,0,12,secured,home_improvement,central,8.67,5.74,10.9,0
52,120000.0,6.5,631.0,40096.0,0.627,0.632,2,60,secured,vehicle,south,7.3,4.02,13.4,0
25,120000.0,0.0,614.0,208415.0,1.8,0.603,3,60,unsecured,vehicle,south,5.24,6.45,19.93,0
35,120000.0,4.3,818.0,86451.0,0.85,0.547,0,36,unsecured,medical,north,6.1,4.89,13.4,0
55,120000.0,8.1,625.0,212526.0,1.8,0.537,3,60,unsecured,personal,east,6.02,5.48,19.6,0
58,120000.0,11.8,734.0,112521.0,1.156,0.735,2,36,secured,medical,north,6.55,6.12,14.99,1
40,120000.0,1.9,726.0,98044.0,0.93,0.717,3,60,unsecured,business,east,8.99,5.93,15.61,0
57,120000.0,4.8,774.0,112987.0,0.975,0.731,0,12,secured,personal,central,6.24,5.98,12.44,0
58,120000.0,8.3,562.0,69921.0,0.766,0.291,2,36,unsecured,vehicle,north,6.56,4.24,14.49,0
38,120000.0,4.4,753.0,112953.0,1.192,0.616,5,36,secured,home_improvement,central,5.9,2.66,14.6,1
61,120000.0,6.3,682.0,100831.0,1.022,0.932,0,48,unsecured,business,south,6.95,4.65,15.16,0
33,205121.0,0.0,718.0,161264.0,0.944,0.521,1,24,secured,personal,north,5.95,6.29,13.31,0
31,131450.0,3.0,678.0,174167.0,1.508,0.778,1,12,secured,business,west,5.87,4.18,15.97,0
51,120000.0,5.2,764.0,81124.0,0.822,0.427,1,60,secured,personal,central,6.19,5.28,11.35,0
49,120000.0,2.6,741.0,332875.0,1.8,0.791,2,36,unsecured,education,north,6.88,5.68,18.02,0
27,120000.0,4.4,676.0,146720.0,1.435,0.485,2,48,unsecured,vehicle,north,6.56,5.3,15.93,1
58,120000.0,7.4,601.0,432175.0,1.8,0.911,2,48,secured,home_improvement,north,6.71,6.73,18.95,0
29,120000.0,5.4,606.0,190366.0,1.549,0.542,0,72,unsecured,home_improvement,north,7.79,4.85,16.83,1
57,120000.0,9.1,743.0,170232.0,1.575,1.0,1,72,unsecured,business,south,5.27,5.27,15.86,0
21,120000.0,0.9,590.0,118286.0,1.096,0.353,0,12,secured,vehicle,west,6.97,5.65,13.61,0
56,120000.0,8.1,677.0,242716.0,1.8,0.857,3,24,secured,education,east,8.17,5.56,18.76,0
56,154439.0,0.8,900.0,166345.0,1.37,0.806,5,24,secured,education,east,8.1,3.88,17.12,1
56,120000.0,5.3,721.0,284362.0,1.8,0.37,1,48,unsecured,business,west,6.97,6.86,18.16,1
50,120000.0,6.9,742.0,461866.0,1.8,1.0,4,48,secured,education,south,7.55,6.42,18.73,0
42,137282.0,6.3,622.0,101473.0,0.993,0.626,3,36,secured,personal,central,8.25,4.51,15.12,1
52,120000.0,2.4,594.0,242499.0,1.8,0.878,1,48,secured,education,north,5.85,5.95,18.33,0
33,120000.0,2.8,746.0,238071.0,1.8,0.819,5,48,unsecured,medical,north,6.33,5.02,19.98,1
56,120000.0,5.4,665.0,219207.0,1.8,0.909,0,36,unsecured,business,west,6.07,6.27,17.85,1
46,120000.0,7.0,774.0,122813.0,1.214,0.634,1,48,secured,vehicle,west,6.51,6.9,12.68,0
41,120000.0,4.9,697.0,124439.0,1.214,0.477,3,24,unsecured,personal,south,5.77,3.78,15.07,0
43,120000.0,7.7,900.0,111355.0,1.09,0.693,3,48,unsecured,vehicle,east,6.25,7.2,14.7,0
46,120000.0,9.5,651.0,109928.0,1.121,0.566,3,48,secured,education,central,7.41,7.06,15.45,0
22,120000.0,1.6,715.0,94270.0,0.975,0.342,1,48,unsecured,vehicle,north,6.31,4.43,14.99,0
27,120000.0,4.1,627.0,152067.0,1.672,0.477,2,12,secured,personal,north,6.95,3.0,15.2,1
32,120000.0,1.7,771.0,99451.0,1.036,0.468,1,36,secured,business,north,5.87,5.44,13.19,0
26,120000.0,9.7,727.0,216029.0,1.8,0.523,5,72,unsecured,vehicle,south,7.73,5.74,19.9,0
40,120000.0,1.1,621.0,168893.0,1.502,0.527,0,36,secured,personal,west,4.94,4.4,16.17,0
51,120000.0,5.9,670.0,181667.0,1.74,0.714,2,24,unsecured,vehicle,east,6.51,4.52,19.9,0
50,120000.0,10.0,796.0,136248.0,1.193,0.75,3,36,unsecured,education,south,7.93,6.06,14.84,0
42,120000.0,7.5,787.0,170209.0,1.736,0.953,1,48,unsecured,vehicle,east,6.39,5.39,17.96,0
59,120000.0,11.0,587.0,138585.0,1.157,0.789,2,72,unsecured,personal,central,5.77,4.66,17.78,0
46,120000.0,8.3,659.0,270142.0,1.8,0.705,2,60,unsecured,personal,west,8.13,6.15,19.68,1
24,120000.0,0.0,830.0,122082.0,1.002,1.0,0,48,unsecured,personal,north,5.9,5.47,15.09,0
55,120000.0,13.3,681.0,207750.0,1.8,0.578,3,36,unsecured,home_improvement,east,6.44,7.4,19.09,1
46,200660.0,5.6,780.0,69624.0,0.476,0.6,2,12,unsecured,business,south,6.38,7.66,12.23,0
49,120000.0,10.7,771.0,258551.0,1.8,0.567,1,36,unsecured,vehicle,east,6.21,5.66,16.91,0
46,120000.0,0.1,594.0,113151.0,1.006,0.526,2,36,secured,medical,north,8.14,5.28,13.64,1
45,120000.0,6.8,623.0,89951.0,0.993,0.818,1,36,secured,business,south,4.99,5.47,16.08,0
25,120000.0,0.0,669.0,77636.0,0.897,0.792,1,36,unsecured,personal,north,5.98,4.72,16.42,0
46,120000.0,8.0,784.0,73744.0,0.82,0.663,0,60,unsecured,business,north,6.65,5.84,12.82,0
56,120000.0,9.7,770.0,119020.0,1.176,0.528,2,36,secured,vehicle,east,7.41,4.51,13.83,0
34,120000.0,4.3,748.0,431105.0,1.8,0.61,2,36,unsecured,personal,west,5.42,5.64,17.32,1
48,120000.0,3.6,683.0,107134.0,0.964,0.664,4,48,unsecured,education,central,7.54,4.7,16.28,0
22,120000.0,0.1,778.0,38717.0,0.374,0.649,1,60,unsecured,home_improvement,west,7.29,4.6,12.48,0
36,120000.0,3.2,682.0,206396.0,1.8,0.701,1,24,secured,education,central,5.18,4.91,17.03,0
40,120000.0,6.2,737.0,78884.0,0.793,0.586,3,36,secured,medical,south,6.08,4.94,13.48,0
65,120000.0,14.0,762.0,276406.0,1.8,0.632,3,60,unsecured,home_improvement,central,6.49,5.76,18.42,1
30,120000.0,2.7,821.0,123785.0,1.398,0.9,1,24,secured,vehicle,north,8.14,5.8,14.79,1
33,120000.0,0.0,689.0,136202.0,1.26,0.59,2,48,unsecured,home_improvement,west,8.32,5.44,15.18,1
39,120000.0,4.8,666.0,354425.0,1.8,0.84,5,12,unsecured,business,west,7.72,5.64,21.24,1
65,120000.0,18.8,791.0,243172.0,1.8,0.974,1,36,secured,personal,north,6.14,5.9,17.58,0
59,120000.0,14.4,796.0,72392.0,0.788,0.625,0,36,unsecured,home_improvement,west,7.09,4.56,13.24,0
22,120000.0,0.0,653.0,79657.0,0.918,0.729,3,36,unsecured,personal,east,7.14,5.5,15.41,0
31,120000.0,2.7,611.0,51057.0,0.602,0.71,2,48,unsecured,home_improvement,central,5.39,5.15,15.32,1
57,120000.0,11.8,785.0,883895.0,1.8,0.958,3,60,secured,education,east,6.59,4.67,17.1,0
23,120000.0,0.0,570.0,92896.0,1.005,0.705,2,48,unsecured,personal,north,8.61,6.32,18.07,0
59,120000.0,8.1,567.0,348146.0,1.8,0.726,1,12,unsecured,medical,west,5.46,7.29,19.61,0
33,120000.0,2.2,673.0,115154.0,1.135,0.899,3,36,unsecured,medical,north,7.18,6.58,18.98,1
62,120000.0,11.9,694.0,80668.0,0.974,0.623,2,60,unsecured,vehicle,east,6.83,6.25,17.01,0
34,120000.0,0.0,607.0,165052.0,1.531,0.636,1,60,secured,medical,west,5.72,5.74,16.68,0
40,120000.0,8.3,703.0,131619.0,1.2,0.651,1,60,secured,personal,south,7.67,5.64,14.29,0
50,120000.0,7.1,706.0,274092.0,1.8,0.992,3,36,secured,business,central,6.14,5.76,19.21,1
26,120000.0,0.0,650.0,276330.0,1.8,0.917,1,60,unsecured,business,north,8.25,5.87,18.67,1
46,120000.0,9.6,839.0,110903.0,1.134,0.788,6,48,unsecured,business,central,9.57,6.56,17.48,1
43,120000.0,0.9,718.0,63833.0,0.83,0.715,1,36,secured,personal,east,6.87,5.14,12.56,0
56,120000.0,7.1,771.0,74745.0,0.82,0.676,2,72,secured,education,west,8.98,5.53,12.27,0
65,120000.0,9.3,577.0,36916.0,0.47,0.629,0,36,unsecured,personal,south,6.95,6.52,14.28,0
50,120000.0,13.7,576.0,136162.0,1.25,0.763,1,48,secured,personal,central,4.21,4.79,15.93,0
39,120000.0,2.4,721.0,161511.0,1.653,0.625,5,48,secured,home_improvement,east,6.44,4.9,19.32,0
39,120000.0,0.0,825.0,77432.0,0.784,0.955,1,48,secured,education,east,6.73,4.86,11.6,0
39,120000.0,2.8,610.0,71584.0,0.77,0.473,4,24,unsecured,personal,west,8.91,5.04,15.6,1
57,130451.0,10.4,706.0,161062.0,1.449,0.597,1,36,secured,medical,north,6.93,6.39,14.94,0
35,120000.0,5.9,593.0,107929.0,1.113,0.892,1,12,secured,home_improvement,east,4.18,7.33,15.83,0
28,120000.0,8.6,632.0,141718.0,1.483,0.827,1,36,unsecured,medical,south,7.32,4.67,17.81,1
36,120000.0,8.0,701.0,128194.0,1.24,0.57,0,48,unsecured,personal,central,6.92,3.96,15.66,0
22,120000.0,0.8,649.0,191315.0,1.8,0.733,3,36,unsecured,personal,east,6.58,4.85,19.26,1
25,120000.0,0.0,588.0,112709.0,1.089,0.696,3,48,secured,education,west,6.79,5.49,16.65,0
25,120000.0,5.9,586.0,118458.0,1.212,0.97,1,24,unsecured,personal,north,8.18,5.01,17.0,0
55,120000.0,7.4,545.0,47898.0,0.557,0.648,1,36,secured,vehicle,central,6.99,5.81,12.24,0
53,120000.0,6.0,722.0,157516.0,1.744,1.0,6,48,unsecured,home_improvement,west,7.03,5.29,19.92,1
52,120000.0,6.5,731.0,172413.0,1.575,0.788,2,48,unsecured,home_improvement,west,6.2,6.36,18.78,1
41,120000.0,1.2,731.0,145001.0,1.357,0.471,2,48,unsecured,education,west,5.28,5.8,16.66,0
53,120000.0,6.6,618.0,563934.0,1.8,0.665,1,36,secured,business,east,7.03,2.9,17.74,0
28,120000.0,1.1,762.0,180919.0,1.656,0.65,1,60,unsecured,vehicle,south,6.13,4.29,16.67,1
61,120000.0,12.2,739.0,147015.0,1.443,0.671,1,60,unsecured,home_improvement,north,6.98,5.11,16.93,0
43,120000.0,4.3,687.0,225132.0,1.8,0.608,3,72,secured,home_improvement,west,4.38,3.88,17.06,0
63,120000.0,6.7,674.0,642654.0,1.8,0.591,5,12,unsecured,personal,north,6.93,5.86,19.81,1
27,120000.0,0.0,637.0,191812.0,1.8,0.791,1,12,secured,education,central,6.73,6.28,17.51,0
43,209420.0,6.1,781.0,38359.0,0.336,0.668,0,48,secured,business,west,6.88,5.65,9.88,0
52,120000.0,8.0,807.0,215526.0,1.8,0.4,3,48,secured,vehicle,east,7.08,5.16,15.39,0
43,120000.0,3.8,771.0,91904.0,0.957,1.0,0,36,secured,home_improvement,north,7.38,5.22,13.5,0
41,120000.0,3.6,667.0,46648.0,0.57,0.485,1,12,secured,home_improvement,east,7.47,4.66,11.01,0
28,120000.0,2.9,726.0,490615.0,1.8,0.644,2,12,secured,home_improvement,central,6.57,5.31,16.77,0
38,120000.0,8.4,603.0,426318.0,1.8,0.367,2,60,unsecured,education,central,7.93,4.3,19.42,0
31,120000.0,0.2,741.0,90367.0,1.108,0.799,0,36,unsecured,home_improvement,west,6.7,4.94,13.5,0
34,120000.0,3.5,624.0,90752.0,0.919,0.485,1,48,secured,medical,south,5.18,4.66,13.38,0
51,120000.0,10.4,738.0,180612.0,1.703,0.626,2,36,secured,education,east,7.64,4.67,16.67,0
49,120000.0,4.7,900.0,91549.0,0.815,0.537,1,24,secured,personal,west,6.56,7.57,10.68,0
48,120000.0,6.7,643.0,149075.0,1.49,0.702,1,48,unsecured,home_improvement,north,6.36,5.11,17.82,0
37,120000.0,3.9,900.0,102378.0,0.918,0.601,0,24,secured,home_improvement,central,8.57,5.8,9.79,0
64,120000.0,6.8,723.0,125460.0,1.27,0.465,2,72,secured,business,east,6.54,5.3,14.05,0
24,165666.0,1.3,671.0,65328.0,0.607,0.951,2,36,secured,personal,south,7.15,4.31,14.08,1
36,120000.0,3.8,626.0,278587.0,1.8,0.544,5,60,secured,personal,west,8.05,5.66,20.32,1
26,120000.0,2.9,863.0,355921.0,1.8,0.754,2,36,secured,vehicle,west,6.17,4.03,14.8,0
36,120000.0,0.2,723.0,152492.0,1.71,0.744,2,60,secured,education,north,7.69,5.62,16.46,0
64,120820.0,10.8,644.0,158965.0,1.369,0.533,3,60,unsecured,business,north,7.01,5.68,16.65,0
37,134298.0,8.1,684.0,244985.0,1.8,0.571,1,60,secured,vehicle,west,8.37,5.2,16.52,0
61,120000.0,16.2,718.0,162956.0,1.45,0.543,1,36,unsecured,vehicle,west,6.13,4.31,16.51,0
43,120000.0,9.3,685.0,500927.0,1.8,0.826,5,24,unsecured,education,central,6.04,6.06,20.76,1
52,120000.0,4.2,712.0,69173.0,0.711,0.328,3,48,secured,education,south,7.15,6.86,13.12,0
41,120000.0,6.4,819.0,284820.0,1.8,0.516,0,36,unsecured,vehicle,north,5.63,3.25,14.64,0
32,120000.0,1.3,601.0,151111.0,1.511,0.755,1,36,secured,education,east,8.3,4.61,16.51,1
55,120000.0,9.4,734.0,78528.0,0.682,0.842,3,24,unsecured,vehicle,south,6.46,4.34,15.45,0
64,120000.0,8.4,681.0,701242.0,1.8,0.495,2,60,secured,business,north,8.87,4.73,18.18,0
32,120000.0,0.0,649.0,767106.0,1.8,0.911,3,60,secured,personal,north,5.61,4.99,18.76,1
56,120000.0,7.7,766.0,142185.0,1.546,0.801,3,12,unsecured,vehicle,west,8.05,5.19,18.22,1
32,120000.0,4.9,576.0,217308.0,1.8,0.735,2,60,unsecured,personal,north,6.5,7.22,18.91,0
53,120000.0,8.9,509.0,119818.0,1.105,0.782,5,48,secured,home_improvement,central,6.08,5.04,17.38,0
56,120000.0,10.0,703.0,133027.0,1.331,0.792,4,24,unsecured,medical,north,7.33,5.88,19.38,0
41,120000.0,5.6,676.0,77954.0,0.59,0.37,1,48,secured,medical,east,6.97,5.64,11.69,0
54,120000.0,9.5,585.0,70815.0,0.933,0.461,3,48,unsecured,business,central,7.47,5.44,16.62,0
33,120000.0,4.6,558.0,539662.0,1.8,0.948,2,60,secured,personal,west,5.96,6.27,18.89,0
24,120000.0,0.0,831.0,158705.0,1.45,0.631,6,48,secured,personal,east,4.94,5.11,16.73,1
25,120000.0,1.2,721.0,168195.0,1.613,0.691,2,36,secured,vehicle,west,7.58,6.29,15.19,0
41,120000.0,10.2,688.0,96102.0,0.987,0.879,0,24,unsecured,vehicle,central,6.0,7.13,15.88,0
61,120000.0,10.4,851.0,184145.0,1.599,1.0,1,60,secured,vehicle,east,6.86,4.46,15.09,0
26,120000.0,1.4,763.0,61239.0,0.897,0.274,1,72,unsecured,vehicle,west,7.54,6.34,11.99,0
41,120000.0,5.3,819.0,98427.0,0.691,0.255,2,60,unsecured,vehicle,west,6.99,5.69,12.52,0
52,120000.0,7.1,598.0,74619.0,0.667,0.641,0,48,unsecured,personal,west,6.56,5.72,13.64,0
30,120000.0,0.9,595.0,377141.0,1.8,0.852,5,60,unsecured,education,central,6.13,5.2,22.74,1
53,120000.0,8.6,732.0,55618.0,0.53,1.0,2,48,secured,vehicle,east,8.11,6.27,12.13,0
34,120000.0,1.7,717.0,75623.0,0.957,0.493,3,72,unsecured,personal,south,7.72,3.87,15.35,0
57,120000.0,8.6,780.0,43005.0,0.339,0.326,0,36,secured,personal,west,8.18,5.25,8.86,0
47,120000.0,4.1,564.0,91262.0,1.127,0.877,1,48,unsecured,home_improvement,central,5.47,4.16,17.88,0
45,128102.0,6.3,746.0,120730.0,1.089,0.893,1,48,secured,education,south,6.02,3.5,15.02,0
28,120000.0,3.5,760.0,307293.0,1.8,0.65,1,24,unsecured,vehicle,east,6.34,6.45,17.57,1
41,120000.0,4.4,756.0,140885.0,1.102,0.604,0,36,unsecured,business,south,7.21,3.99,14.67,0
59,120000.0,3.5,656.0,124632.0,1.193,0.641,2,36,unsecured,education,west,8.81,6.95,16.19,0
21,120000.0,1.8,725.0,197786.0,1.744,0.725,2,36,unsecured,business,central,6.87,5.86,18.21,1
55,400202.0,8.9,880.0,122041.0,0.513,0.36,2,24,unsecured,personal,central,6.28,5.54,11.52,0
43,120000.0,2.5,664.0,779525.0,1.8,0.53,0,12,unsecured,education,south,7.1,4.61,17.51,0
53,120000.0,10.3,608.0,110841.0,1.218,0.885,2,36,unsecured,business,north,5.16,6.27,18.44,1
50,130746.0,3.1,639.0,212971.0,1.792,0.631,1,24,unsecured,vehicle,east,4.27,6.47,18.13,0
40,120000.0,7.9,668.0,278506.0,1.8,1.0,3,72,secured,home_improvement,central,5.38,5.46,18.58,1
34,120000.0,3.1,649.0,108791.0,1.203,0.47,2,36,secured,vehicle,north,6.3,6.97,14.21,0
49,179322.0,0.2,683.0,181225.0,1.218,0.519,0,60,unsecured,vehicle,central,7.31,5.31,15.77,0
27,120000.0,2.0,589.0,117530.0,1.252,0.788,3,36,secured,business,north,8.14,5.05,17.14,0
47,120000.0,5.3,833.0,194486.0,1.8,0.756,1,36,unsecured,personal,north,8.39,5.61,17.75,0
25,120000.0,0.0,649.0,173790.0,1.593,0.646,0,48,secured,education,south,7.88,7.07,15.3,0
50,133250.0,5.0,723.0,148571.0,1.3,0.976,3,60,secured,education,north,5.23,4.59,18.04,0
49,120000.0,6.6,554.0,76794.0,0.921,0.343,3,36,secured,business,south,6.54,6.47,15.23,0
24,120000.0,0.0,788.0,546561.0,1.8,0.72,4,36,unsecured,vehicle,north,8.5,5.95,19.45,0
55,120000.0,2.9,699.0,238270.0,1.8,0.778,1,60,secured,personal,east,5.12,6.03,17.43,0
39,120000.0,8.3,653.0,57953.0,0.636,0.712,6,24,secured,education,central,6.81,5.18,15.41,0
